time,open,high,low,close,tick_volume,spread,real_volume,SMA_3,SMA_10,EMA_10,EMA_25,RSI,MACD,Signal,Upper_Band,Lower_Band,ATR,Stochastic,ADX,HA_Close,HA_Open,HA_High,HA_Low
2021-03-08,1706.24,1714.29,1676.82,1682.53,185032,5,0,1693.9633333333331,1737.1650000000002,1728.7234564958546,1771.4700866745238,22.056006685444984,-42.74663017866919,-32.62327817118936,1871.0616380678177,1674.8173619321822,31.727408004855143,4.102306200158082,48.4570135165657,1694.9699999999998,1699.295,1714.29,1676.82
2021-03-09,1684.52,1720.58,1680.12,1715.59,160257,5,0,1699.6266666666668,1728.217,1726.33555531479,1767.1716184687912,36.00532245915477,-40.83606315400107,-34.2658351677517,1863.2711954080598,1670.4028045919401,32.60066720436963,27.85401250089803,49.279254763378425,1700.2024999999999,1694.385,1720.58,1680.12
2021-03-10,1715.33,1726.57,1708.2,1726.33,149898,5,0,1708.1499999999999,1720.3170000000002,1726.3345452575554,1764.0299555096535,39.82210352552955,-37.6954102520981,-34.951750184620984,1852.4289341688946,1669.6430658311056,31.177600483932657,35.57008405776275,49.6065188774718,1719.1074999999998,1700.0549999999998,1726.57,1700.0549999999998
2021-03-11,1726.56,1739.82,1719.27,1722.38,142465,5,0,1721.4333333333334,1715.53,1725.6155370289089,1760.8261127781418,38.891448163037424,-35.21057574923293,-35.00351529754337,1843.716015601783,1668.0469843982169,30.11484043553939,32.732236511243734,48.99419800554694,1727.0075,1720.83,1739.82,1719.27
2021-03-12,1721.63,1727.96,1699.21,1726.92,149733,5,0,1725.21,1714.8380000000002,1725.8527121145617,1758.2179502567462,40.631133731201885,-32.36523814218458,-34.475859866471616,1833.8164417237626,1668.2215582762378,29.97835639198545,35.993965083698626,48.929600168739775,1718.93,1724.47,1727.96,1699.21
2021-03-15,1728.56,1734.54,1721.66,1732.11,132634,5,0,1727.1366666666665,1715.5700000000002,1726.9904008210049,1756.2096463908426,42.666657130607184,-29.219245569837767,-33.42453700714485,1823.728933611188,1669.6480663888124,28.268520752786895,40.32234539089842,48.440631758893176,1729.2175,1724.275,1734.54,1721.66
2021-03-16,1731.86,1741.21,1726.25,1731.85,125856,5,0,1730.293333333333,1714.878,1727.8739643080949,1754.335827437701,42.58685995605111,-26.461863129606172,-32.032002231637115,1817.5908489963065,1669.5151510036942,26.937668677508206,43.19127227062235,47.55632778581471,1732.7925,1730.335,1741.21,1726.25
2021-03-17,1732.35,1751.63,1724.17,1744.54,136197,5,0,1736.1666666666667,1718.161,1730.9041526157139,1753.5823022501856,47.78633948294055,-22.678149634471765,-30.16123171220405,1814.4136866170477,1669.4763133829526,26.98990180975739,68.44552253891246,46.08815820827079,1738.1725,1731.855,1751.63,1724.17
2021-03-18,1748.74,1755.46,1719.25,1736.49,161388,5,0,1737.6266666666668,1721.95,1731.9197612310386,1752.2675097694023,44.96811200076221,-20.347748538363703,-28.198535077435984,1810.8361046940495,1669.1588953059504,27.911911628781656,71.8309859154929,44.89559470637983,1739.985,1738.445,1755.46,1719.25
2021-03-19,1735.77,1746.72,1728.5,1745.14,139589,5,0,1742.0566666666666,1726.3879999999997,1734.3234410072132,1751.7192397871409,48.52658789029677,-17.395798779927645,-26.037987817934315,1806.2072255263856,1669.9967744736146,26.942720465903495,86.87690742624628,43.7882143117668,1739.0325,1742.615,1746.72,1728.5
2021-03-22,1743.8,1744.33,1727.39,1738.68,129700,5,0,1740.1033333333335,1732.003,1735.1155426422652,1750.7162213419763,46.09809112929013,-15.600678699711125,-23.950525994289677,1794.4375153186497,1674.7304846813504,26.023448419313148,78.66225839267554,42.80277654868031,1738.5500000000002,1740.455,1744.33,1727.39
2021-03-23,1739.58,1742.6,1724.68,1726.89,126605,5,0,1736.9033333333336,1733.1330000000003,1733.6199894345805,1748.8834350849013,41.92112852875917,-15.263445650320818,-22.213109925495907,1781.0685160511728,1680.2814839488271,25.21310357738182,63.66988809766035,41.996977523308274,1733.4375,1741.24,1742.6,1724.68
2021-03-24,1727.15,1738.47,1723.79,1733.83,111264,5,0,1733.1333333333332,1733.8830000000003,1733.6581731737476,1747.7254785399089,45.114639357213775,-14.067305366161236,-20.583949013628974,1764.1904429738959,1690.009557026104,24.159793219643642,72.49491353001007,41.286240797249825,1730.81,1733.2350000000001,1738.47,1723.79
2021-03-25,1734.91,1745.43,1721.76,1726.98,131827,5,0,1729.2333333333333,1734.343,1732.4439598694298,1746.1296724983777,42.59286217390659,-13.68571262894784,-19.20430173669275,1756.3147792867903,1693.5582207132093,24.110813897679286,63.78433367243136,40.05414342830864,1732.27,1730.49,1745.43,1721.76
2021-03-26,1727.94,1736.65,1721.63,1732.7,105918,5,0,1731.17,1734.9209999999998,1732.4905126204424,1745.0966207677332,45.37436641462874,-12.606108147290797,-17.88466301881236,1756.1969606090565,1693.562039390943,23.201732507911355,69.79028404565975,38.91666538897302,1729.73,1730.9450000000002,1736.65,1721.63
2021-03-29,1731.17,1732.84,1705.65,1711.81,109038,5,0,1723.83,1732.891,1728.7304194167255,1742.5361114779075,38.032596360530505,-13.805692061182071,-17.068868827286302,1756.062234150056,1692.3987658499443,23.600559257120203,22.39999999999984,38.61325782555902,1720.3674999999998,1730.3200000000002,1732.84,1705.65
2021-03-30,1712.68,1714.36,1678.77,1685.06,135333,5,0,1709.8566666666666,1728.212,1720.790343159139,1738.114872133453,31.02096051555175,-17.324528974314035,-17.12000085669185,1756.886163817846,1686.2038361821542,24.799503331408175,8.201851610379396,39.26972234865524,1697.7174999999997,1721.49,1721.49,1678.77
2021-03-31,1684.83,1715.34,1677.86,1707.7,130802,5,0,1701.5233333333333,1724.5279999999998,1718.4102807665681,1735.7752665847258,41.05452106894313,-17.36498581815772,-17.168997848985025,1756.9510783107535,1685.7379216892464,26.06755299826736,38.4536082474228,39.79661128416827,1696.4325,1698.87,1715.34,1677.86
2021-04-01,1707.4,1730.4,1705.76,1729.49,115912,5,0,1707.4166666666667,1723.828,1720.4247751726466,1735.2917845397471,48.86418716189815,-14.867009367100536,-16.708600152608128,1757.0663883730138,1688.711611626986,25.924797698440635,66.5335051546392,39.08397010619298,1718.2625,1696.2649999999999,1730.4,1696.2649999999999
2021-04-05,1728.66,1733.57,1721.25,1728.36,88124,5,0,1721.8500000000001,1722.15,1721.8675433230744,1734.7585703443822,48.50065790476571,-12.891027021307764,-15.945085526348056,1756.9572871377477,1691.5807128622528,24.564317928596566,65.07731958762875,38.18715842097966,1727.9599999999998,1718.4450000000002,1733.57,1718.4450000000002
2021-04-06,1728.71,1745.47,1727.16,1743.06,109667,5,0,1733.6366666666665,1722.5880000000002,1725.7207172643336,1735.3971418563528,53.41865396241355,-9.676424592019202,-14.691353339482287,1754.7559591913505,1699.8350408086499,23.9388861357369,84.02061855670094,36.514265402445965,1736.1,1728.51,1745.47,1727.16
2021-04-07,1743.28,1744.32,1730.57,1737.57,103223,5,0,1736.33,1723.6560000000002,1727.875132307182,1735.5642847904796,51.41811853354555,-7.689152483297676,-13.290913168245364,1755.6516997644626,1701.1373002355372,22.91999752216321,76.9458762886597,34.960864742378966,1738.935,1735.885,1744.32,1730.57
2021-04-08,1737.56,1758.66,1733.14,1756.14,102546,5,0,1745.5900000000001,1725.887,1733.0141991604214,1737.147032114289,57.31660255251206,-4.132832953867592,-11.45929712536981,1759.670545151966,1700.0994548480335,23.179997769946887,96.8811881188119,32.575872653674146,1746.3750000000002,1740.425,1758.66,1733.14
2021-04-09,1755.65,1757.32,1731.26,1743.46,110017,5,0,1745.7233333333334,1727.5350000000003,1734.9134356767083,1737.6326450285746,52.56280662395583,-2.7192093518663114,-9.71127957066911,1761.0774497942382,1700.8005502057615,23.467997992952192,81.18811881188117,30.4735452560255,1746.9225000000001,1746.85,1757.32,1731.26
2021-04-12,1742.71,1745.0,1727.48,1732.34,110257,5,0,1743.9800000000002,1727.4990000000003,1734.445538280943,1737.2255184879152,48.69867975671795,-2.779980206972141,-8.325019697929717,1761.2964501063161,1701.1235498936844,22.873198193656968,67.4257425742573,28.75268033321751,1736.8825000000002,1749.555,1749.555,1727.48
2021-04-13,1733.23,1748.99,1723.7,1745.39,122156,5,0,1740.3966666666668,1730.857,1736.4354404116807,1737.8535555273065,53.11165990636157,-1.4181151156258238,-6.943638781468938,1762.59017450139,1701.1578254986105,23.11487837429127,83.57673267326739,26.876525240456157,1737.8275,1737.525,1748.99,1723.7
2021-04-14,1745.66,1749.31,1732.58,1736.25,106297,5,0,1737.993333333333,1735.9759999999999,1736.4017239731932,1737.7302051021293,49.83619781118056,-1.3284811289361187,-5.820607250962375,1762.8693072446051,1701.3186927553954,22.476390536862144,72.26485148514847,25.111305107334477,1740.95,1739.31,1749.31,1732.58
2021-04-15,1736.26,1769.68,1734.35,1763.5,103270,5,0,1748.3799999999999,1741.556,1741.3286832507943,1739.7124970173502,58.21709007291619,1.6161862334440684,-4.333248554081086,1766.3558335230252,1699.728166476975,23.761751483175946,93.26944020910473,24.459836833267342,1750.9475,1740.955,1769.68,1734.35
2021-04-16,1763.97,1783.79,1759.72,1776.67,100215,5,0,1758.8066666666666,1746.2740000000001,1747.7543772051952,1742.5553818621695,61.59963084214674,5.198995343025672,-2.4267997746597345,1773.4172601252694,1696.684739874731,23.792576334858346,93.27858019446816,24.5572319118072,1771.0375000000001,1749.88,1783.79,1749.88
2021-04-19,1775.67,1790.03,1766.76,1770.78,113432,5,0,1770.3166666666666,1750.516,1751.9408540769778,1744.7265063343104,59.25908382033493,7.214347742667314,-0.49857027119432473,1777.5683067649536,1695.0976932350466,23.74031870137251,82.83854863154143,24.927417255249832,1775.81,1770.3200000000002,1790.03,1766.76
2021-04-20,1770.9,1780.41,1763.53,1778.55,110180,5,0,1775.3333333333333,1754.065,1756.7788806084363,1747.3283135393635,61.371324319357356,9.450567069072804,1.491257196859101,1783.4907302159559,1693.1622697840448,23.054286831235267,89.76553445662832,25.00620316833249,1773.3475,1773.225,1780.41,1763.53
2021-04-21,1778.16,1797.63,1776.24,1793.92,102562,5,0,1781.0833333333333,1759.7,1763.5318114069025,1750.912289420951,65.25824547365204,12.619521985951451,3.7169101546775716,1792.5390481999714,1690.8169518000284,22.88785814811175,95.96168498965926,25.8243710583503,1786.4875,1774.725,1797.63,1774.725
2021-04-22,1793.95,1797.88,1777.45,1784.36,104081,5,0,1785.61,1762.5220000000002,1767.3187547874657,1753.485190234724,61.08743561220867,13.833564552741564,5.740241034290371,1798.1799186551605,1690.22908134484,22.642072333300582,82.35677932924418,26.594081986940694,1788.4099999999999,1786.04,1797.88,1777.45
2021-04-23,1784.16,1795.95,1770.01,1776.48,102335,5,0,1784.92,1765.824,1768.984435735199,1755.25402175513,57.76753038567558,13.730413980068988,7.338275623446094,1801.796178229006,1691.5628217709934,22.97186509997053,71.1512537071986,26.66623463021963,1781.65,1789.155,1795.95,1770.01
